source_file,drive_link,context
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EERFpYaWRRZUVBSTg/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1ir-gb9yUqC0DUYVZ07nYqtibxDQeKF3h/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EET3hKSUJqelE5LUk/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1DRe8vnJj-yQKCGOCJo3LWoos-fAy32IV/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEaVNYVDRJUGJPY2M/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1YTlqnGoW5QYluGEaQIXLzGW_-biBzjVg/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEdDl4MkZMYWxJMkU/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1kL0gKSBxp3JlmGLIgNWQpVi1krEk3M-w/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEUDdUTlNrLWlSTnc/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1iQolC-ZDoHdwZjXdpF02fsGHB45qyrIx/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEcURiWGdDRjd2NXc/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1GinOXG_GkKqulCZHHRhPnzSigqQ6BLXL/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEVXI1TEVrTEYtMkE/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1j1ap4ESpD_KxoE758nPrf8deZzm9UYjt/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEMnRDRFpWUkl0Nk0/view",""
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1wpAUVH5N6Wke_hIj_Ydp1TFo9Wxr4Bx9/view?usp=drive_link",""
